City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
335,dwarka,1,IN,1603573374,57,22.24,68.97,82.18,6.2
336,san cristobal,40,VE,1603573282,52,7.77,-72.22,91.4,14.99
337,coquimbo,90,CL,1603573374,76,-29.95,-71.34,57.2,10.29
338,asau,100,RO,1603573374,98,46.43,26.4,52.0,2.53
340,kytmanovo,48,RU,1603573374,92,53.46,85.45,26.1,8.59
341,jiangyou,86,CN,1603573374,65,31.77,104.72,61.16,3.13
342,kudahuvadhoo,50,MV,1603573375,79,2.67,72.89,82.09,10.16
343,chaoyang,100,CN,1603573375,53,41.57,120.46,44.96,2.84
344,san luis,56,AR,1603573277,39,-33.3,-66.34,83.71,4.83
345,mogadishu,100,SO,1603573143,84,2.04,45.34,79.83,8.32
346,szendro,75,HU,1603573375,87,48.4,20.73,55.4,6.93
347,mubi,3,NG,1603573375,32,10.27,13.26,77.7,2.86
348,nouadhibou,100,MR,1603573375,73,20.93,-17.03,71.6,16.11
350,sakakah,0,SA,1603573375,17,29.97,40.21,66.2,6.93
351,grand gaube,39,MU,1603573264,87,-20.01,57.66,69.01,5.01
352,wuwei,75,CN,1603573376,49,37.93,102.64,46.24,2.42
353,telde,40,ES,1603573376,64,27.99,-15.42,71.6,17.22
354,alice springs,0,AU,1603573376,44,-23.7,133.88,60.8,9.17
355,husavik,90,IS,1603573376,75,66.04,-17.34,41.0,19.46
356,micheweni,76,TZ,1603573376,81,-4.97,39.83,78.85,8.99
357,pemberton,5,CA,1603573376,72,50.32,-122.8,36.0,6.93
358,dzhebariki-khaya,76,RU,1603573376,93,62.22,135.8,11.28,2.37
359,mukhen,100,RU,1603573376,92,48.1,136.1,36.95,7.58
360,arlit,0,NE,1603573376,14,18.74,7.39,81.63,11.56
361,mananjary,23,MG,1603573377,81,-21.22,48.33,69.93,2.62
362,moussoro,2,TD,1603573377,15,13.64,16.49,87.3,13.53
363,abha,0,SA,1603573377,16,18.22,42.51,64.4,4.7
365,chicama,0,PE,1603573377,77,-7.84,-79.15,66.2,12.75
366,praia,100,CV,1603573204,78,14.92,-23.51,78.8,16.11
367,luanda,40,AO,1603573233,78,-8.84,13.23,77.0,6.93
368,dongsheng,0,CN,1603573377,74,39.82,109.98,44.62,7.23
369,kolyvan,90,RU,1603573377,73,55.31,82.74,24.8,8.95
370,behshahr,0,IR,1603573377,42,36.69,53.55,64.6,4.83
371,kampene,36,CD,1603573377,93,-3.6,26.67,70.72,1.48
373,zatoka,0,UA,1603573378,67,46.07,30.47,60.8,6.71
374,leningradskiy,40,RU,1603573319,93,69.38,178.42,21.94,6.82
375,puerto princesa,100,PH,1603573378,83,9.74,118.74,78.37,5.06
376,katsuura,20,JP,1603573267,50,35.13,140.3,57.2,14.99
377,sakaiminato,40,JP,1603573378,87,35.55,133.23,48.2,6.93
378,pangody,60,RU,1603573378,95,65.85,74.49,12.79,7.25
379,lumsden,90,CA,1603573378,57,50.65,-104.87,21.99,10.29
380,vargashi,100,RU,1603573378,96,55.36,65.85,36.79,13.35
381,nyurba,76,RU,1603573379,95,63.28,118.33,21.6,5.88
382,sola,34,VU,1603573379,82,-13.88,167.55,79.7,17.0
383,saint-pierre,0,RE,1603573379,64,-21.34,55.48,69.8,5.82
384,hammerfest,100,NO,1603573379,93,70.66,23.68,37.4,17.22
385,sao raimundo das mangabeiras,100,BR,1603573248,64,-7.02,-45.48,81.86,1.61
386,kavaratti,51,IN,1603573379,74,10.57,72.64,81.39,7.43
388,hervey bay,21,AU,1603573379,84,-25.3,152.85,75.99,5.01
389,issia,86,CI,1603573380,90,6.49,-6.59,73.09,2.44
390,manta,0,EC,1603573380,65,-0.95,-80.73,80.6,14.99
391,chuy,23,UY,1603573380,88,-33.7,-53.46,66.92,7.58
392,ponta do sol,40,PT,1603573380,68,32.67,-17.1,68.0,4.7
393,labuhan,100,ID,1603573380,82,-6.88,112.21,79.52,6.26
394,vila franca do campo,75,PT,1603573276,82,37.72,-25.43,68.0,19.46
395,nemuro,77,JP,1603573359,70,43.32,145.57,50.74,26.31
396,vestbjerg,100,DK,1603573381,90,57.13,9.96,52.0,5.99
397,bathsheba,40,BB,1603573381,70,13.22,-59.52,86.0,19.46
399,creel,50,MX,1603573381,24,27.75,-107.63,72.25,12.64
400,matara,70,LK,1603573381,88,5.95,80.54,77.18,7.27
401,strezhevoy,90,RU,1603573381,85,60.73,77.59,23.0,4.47
402,jagdalpur,75,IN,1603573381,76,19.07,82.03,66.7,1.72
403,svetlaya,82,RU,1603573381,67,46.54,138.33,41.56,8.14
404,chumphon,94,TH,1603573382,88,10.33,98.83,69.85,0.47
405,khani,0,GE,1603573382,93,41.96,42.96,48.2,6.93
406,palana,100,RU,1603573382,80,59.12,159.97,35.24,4.56
407,kelo,85,TD,1603573382,49,9.31,15.81,79.57,3.69
408,zaraza,92,VE,1603573326,92,9.35,-65.32,81.55,2.66
409,guasdualito,69,VE,1603573382,83,7.24,-70.73,82.49,3.83
410,kununurra,65,AU,1603573239,88,-15.77,128.73,80.6,3.36
411,dali,98,CN,1603573366,88,25.7,100.18,55.98,1.61
412,san rafael,12,AR,1603573235,27,-34.62,-68.33,87.26,15.97
413,ajmer,0,IN,1603573382,23,26.45,74.63,69.96,4.45
414,odweyne,45,SO,1603573383,20,9.41,45.06,75.25,10.67
415,son la,86,VN,1603573383,77,21.32,103.9,56.48,1.05
416,aras,40,ES,1603573383,81,42.56,-2.36,55.99,3.36
417,yala,99,TH,1603573383,90,6.33,101.25,74.53,2.04
418,myskhako,40,RU,1603573383,87,44.67,37.74,57.2,8.95
